date,code,action,price,shares,amount,fee,pnl,pnl_pct,reason
2020-04-30,sz.000963,BUY,17.96890515,500,8984.45,5.0,0.0,0.0,买入信号
2020-05-07,sh.603288,BUY,56.7071608,100,5670.72,5.0,0.0,0.0,买入信号
2020-05-18,sh.600276,BUY,65.848626,100,6584.86,5.0,0.0,0.0,买入信号
2020-06-01,sz.300529,BUY,56.60758136,100,5660.76,5.0,0.0,0.0,买入信号
2020-08-12,sz.300529,SELL,61.68323,100,6168.323,8.0841615,494.47883850000017,8.727493548967837,卖出信号（盈亏8.97%）
2020-08-13,sh.603369,BUY,40.65207867,200,8130.42,5.0,0.0,0.0,买入信号
2020-09-07,sz.000963,SELL,23.5142748,500,11757.1374,10.878568699999999,2756.808831299999,30.66715796072061,卖出信号（盈亏30.86%）
2020-09-09,sh.600276,SELL,73.5840252,100,7358.40252,8.67920126,759.8633187400001,11.53079608276959,卖出信号（盈亏11.75%）
2020-09-09,sz.000983,BUY,3.1543242,4000,12617.3,5.0,0.0,0.0,买入信号
2020-09-17,sz.300661,BUY,77.93850918,100,7793.85,5.0,0.0,0.0,买入信号
2020-10-15,sz.300661,SELL,67.08989693,100,6708.9896929999995,8.3544948465,-1098.2148018465004,-14.081753102656167,卖出信号（盈亏-13.92%）
2020-10-15,sh.600036,BUY,30.44683688,300,9134.05,5.0,0.0,0.0,买入信号
2020-12-15,sz.000983,SELL,3.86495356,4000,15459.81424,12.72990712,2824.784332880001,22.379315440767538,卖出信号（盈亏22.53%）
2020-12-16,sh.600438,BUY,27.81793187,500,13908.97,5.0,0.0,0.0,买入信号
2021-02-22,sh.603369,SELL,46.57442977,200,9314.885954000001,9.657442977,1169.8085110230004,14.379202438509633,卖出信号（盈亏14.57%）
2021-02-22,sh.601668,BUY,3.976945,2900,11533.14,5.0,0.0,0.0,买入信号
2021-04-26,sh.603288,SELL,85.2950248,100,8529.50248,9.264751239999999,2844.517728759999,50.11730192398496,卖出信号（盈亏50.41%）
2021-04-26,sh.601838,BUY,8.76969429,1400,12277.57,5.0,0.0,0.0,买入信号
2021-06-03,sh.600438,SELL,31.18544912,500,15592.72456,12.79636228,1665.9581977200014,11.973277200683928,卖出信号（盈亏12.11%）
2021-06-04,sh.603392,BUY,114.2635888,100,11426.36,5.0,0.0,0.0,买入信号
2021-07-14,sh.601838,SELL,9.45478589,1400,13236.700246,11.618350122999999,942.5118958769999,7.6735723539698935,卖出信号（盈亏7.81%）
2021-07-22,sz.000338,BUY,15.45932037,800,12367.46,5.0,0.0,0.0,买入信号
2021-08-31,sh.600036,SELL,39.18454848,300,11755.364543999998,10.877682272,2605.4368617279997,28.50883693302914,卖出信号（盈亏28.70%）
2021-08-31,sh.601607,BUY,17.3672832,700,12157.1,5.0,0.0,0.0,买入信号
2022-02-14,sh.603392,SELL,99.95761296,100,9995.761296,9.997880648,-1445.5965846479994,-12.64588451984715,卖出信号（盈亏-12.52%）
2022-02-14,sh.600309,BUY,89.138616,100,8913.86,5.0,0.0,0.0,买入信号
2022-05-12,sh.601668,SELL,4.7953316,2900,13906.46164,11.95323082,2356.3684091800005,20.42242865123842,卖出信号（盈亏20.58%）
2022-05-16,sz.002709,BUY,36.02547616,300,10807.64,5.0,0.0,0.0,买入信号
2022-07-06,sz.000338,SELL,10.47447698,800,8379.581584,9.189790792,-4002.068206791999,-32.34658432350558,卖出信号（盈亏-32.24%）
2022-08-01,sh.603369,BUY,42.22680504,200,8445.36,5.0,0.0,0.0,买入信号
2022-08-19,sh.603369,SELL,41.00768214,200,8201.536428,9.100768213999999,-257.92434021400186,-3.0522290199944364,卖出信号（盈亏-2.89%）
2022-08-19,sh.603195,BUY,45.278697,200,9055.74,5.0,0.0,0.0,买入信号
2022-09-08,sh.603195,SELL,42.641103,200,8528.2206,9.2641103,-541.7835102999998,-5.979462056079302,卖出信号（盈亏-5.83%）
